Program,Year_Semester,Program_Code,Subject_Description,Lec_Units,Lab_Units,Other_Units,Total_Units,Hrs_Sem,Prerequisites
BECEd,1st Year - 1st Semester,Math 113,"Mathematics in the Modern World",3,0,0,3,54,"None"
BECEd,1st Year - 1st Semester,Soc Sci 113 a,"Readings in Phil. History including Peace Education",3,0,0,3,54,"None"
BECEd,1st Year - 1st Semester,Soc Sci 113 b,"Understanding the Self",3,0,0,3,54,"None"
BECEd,1st Year - 1st Semester,Fil 113,"Malikhaing Pagsulat",3,0,0,3,54,"None"
BECEd,1st Year - 1st Semester,Val Ed. 113,"Values Education",3,0,0,3,54,"None"
BECEd,1st Year - 1st Semester,Educ 113a,"Assesment Learning 1",3,0,0,3,54,"None"
BECEd,1st Year - 1st Semester,ECE 1,"Child Development",3,0,0,3,54,"None"
BECEd,1st Year - 1st Semester,ECE 2,"Health, Nutrition and Safety",3,0,0,3,54,"None"
BECEd,1st Year - 1st Semester,ECE 3,"Foundation of Earty Childhood Education",3,0,0,3,54,"None"
BECEd,1st Year - 1st Semester,PATH Fit 1,"Movement Competency Training",2,0,0,2,36,"None"
BECEd,1st Year - 2nd Semester,Hum 123,"Art Appreciation",3,0,0,3,54,"None"
BECEd,1st Year - 2nd Semester,Fil 123,"Dulaang Filipino",3,0,0,3,54,"None"
BECEd,1st Year - 2nd Semester,Sci 123,"Science, Technology and Society",3,0,0,3,54,"None"
BECEd,1st Year - 2nd Semester,Eng 123,"Purposive Communication",3,0,0,3,54,"None"
BECEd,1st Year - 2nd Semester,Educ 123a,"The Teaching Profession",3,0,0,3,54,"None"
BECEd,1st Year - 2nd Semester,Educ. 123b,"Assesment Learning 2",3,0,0,3,54,"Educ 113a"
BECEd,1st Year - 2nd Semester,ECE 4,"Play & Development Appropriate Practices in Early Childhood Education",3,0,0,3,54,"None"
BECEd,1st Year - 2nd Semester,Pers Dev. 123,"Personality Development",3,0,0,3,54,"None"
BECEd,1st Year - 2nd Semester,PATH Fit 2,"Exercise-based Fitness Activities",2,0,0,2,35,"None"
BECEd,2nd Year - 1st Semester,ECE 5,"Creative Arts, Music, and Movement in Practices in Early Childhood Education",3,0,0,3,54,"None"
BECEd,2nd Year - 1st Semester,ECE 6,"Numeracy Development",3,0,0,3,54,"None"
BECEd,2nd Year - 1st Semester,ECE 7,"Inclusive Education in Early Childhood Settings",3,0,0,3,54,"None"
BECEd,2nd Year - 1st Semester,Educ 213,"Foundation of Special and Inclusive Education",3,0,0,3,54,"None"
BECEd,2nd Year - 1st Semester,SocSci 213 a,"The Contemporary World",3,0,0,3,54,"None"
BECEd,2nd Year - 1st Semester,SocSci 213 b,"Ethics",3,0,0,3,54,"None"
BECEd,2nd Year - 1st Semester,Fil 213,"Mga Akdang Pampanitikan.",3,0,0,3,54,"None"
BECEd,2nd Year - 1st Semester,NSTP 213,"National Service Training Program 1",3,0,0,3,54,"None"
BECEd,2nd Year - 1st Semester,PATH Fitness 3,"Menu of Dances",2,0,0,2,36,"None"
BECEd,2nd Year - 2nd Semester,ECE 8,"Children's Literature",3,0,0,3,54,"None"
BECEd,2nd Year - 2nd Semester,ECE 9,"Assessment of Children's Devt. and Learning",3,0,0,3,54,"Educ 113a & Educ. 123b"
BECEd,2nd Year - 2nd Semester,Soc Sci 223a,"Life and Works of Rizal",3,0,0,3,54,"None"
BECEd,2nd Year - 2nd Semester,Elec 223,"The Entrepreneurial Mind",3,0,0,3,54,"None"
BECEd,2nd Year - 2nd Semester,Educ. 223a,"Building and Enhancing New Literacies Across the curriculum",3,0,0,3,54,"None"
BECEd,2nd Year - 2nd Semester,Educ 223 b,"Facilitating learner-Centered Teaching",3,0,0,3,54,"None"
BECEd,2nd Year - 2nd Semester,Educ 223c,"The Child and Adolescent Learner & Learning Principles",3,0,0,3,54,"None"
BECEd,2nd Year - 2nd Semester,NSTP 223,"National Service Training Program 2",3,0,0,3,54,"NSTP 213"
BECEd,2nd Year - 2nd Semester,PATH Fitness 4,"Sports",2,0,0,2,36,"None"
BECEd,3rd Year - 1st Semester,ECE 10,"Literacy Development",3,0,0,3,54,"None"
BECEd,3rd Year - 1st Semester,ECE 11,"Social Studies for Early Childhood Educ.",3,0,0,3,54,"None"
BECEd,3rd Year - 1st Semester,ECE 12,"Science in Early Childhood Educ.",3,0,0,3,54,"None"
BECEd,3rd Year - 1st Semester,ECE 13,"Early Childhood Education Curriculum Models",3,0,0,3,54,"None"
BECEd,3rd Year - 1st Semester,Educ 313 a,"Technology for Teaching and Learning 1",3,0,0,3,54,"None"
BECEd,3rd Year - 1st Semester,Educ 313 b,"The Teacher and the Community, School Culture and organizational Leadership",3,0,0,3,54,"None"
BECEd,3rd Year - 1st Semester,Elec 313 a,"Philippine Popular Culture including Indigenous People",3,0,0,3,54,"None"
BECEd,3rd Year - 1st Semester,Elec 313b,"Environmental Science",3,0,0,3,54,"None"
BECEd,3rd Year - 2nd Semester,Educ. 323,"The Teacher & the School Curriculum",3,0,0,3,54,"None"
BECEd,3rd Year - 2nd Semester,ECE 14,"Technology for Teaching and Learning 2 Utitlization of Industrial Technology in ECED",3,0,0,3,54,"Educ 313 a"
BECEd,3rd Year - 2nd Semester,ECE 15,"Guiding Children's Behavior and Moral Development",3,0,0,3,54,"None"
BECEd,3rd Year - 2nd Semester,ECE 16,"Infant and Toddler Programs",3,0,0,3,54,"None"
BECEd,3rd Year - 2nd Semester,ECE 17,"Early Learning Environment",3,0,0,3,54,"None"
BECEd,3rd Year - 2nd Semester,ECE 18,"Management of Early Childhood Educ. Progres",3,0,0,3,54,"None"
BECEd,3rd Year - 2nd Semester,ECE 19,"Research in Early Childhood Education",3,0,0,3,54,"& Majot Subj."
BECEd,3rd Year - 2nd Semester,Prof. Subj.,"Field Study 1",3,0,0,3,54,"All Prof. Subj."
BECEd,4th Year - 1st Semester,ECE 20,"Family, School and Community Partnership",3,0,0,3,54,"None"
